sno,UpdatedTimeStamp,TotalSamplesTested,Totalindividualstested,TotalPositiveCases,TestConductedbyPrivateLabs,Source
1,13/3/2020 00:00,6500.0,5900.0,78.0,,Press_Release_ICMR_13March2020.pdf
2,18/3/2020 18:00,13125.0,12235.0,150.0,,ICMR_website_update_18March_6PM_IST.pdf
3,19/3/2020 10:00,13316.0,12426.0,168.0,,ICMR_website_update_19March_10AM_IST_V2.pdf
4,19/3/2020 18:00,14175.0,13285.0,182.0,,ICMR_website_update_19March_6PM_IST.pdf
5,20/3/2020 10:00,14376.0,13486.0,206.0,,ICMR_website_update_20March_10AM_IST.pdf
6,20/3/2020 18:00,15404.0,14514.0,236.0,,ICMR_website_update_20March_6PM_IST.pdf
7,21/3/2020 10:00,15701.0,14811.0,271.0,,ICMR_website_update_21March_10AM_IST.pdf
8,21/3/2020 18:00,16911.0,16021.0,315.0,,ICMR_website_update_21March_6PM_IST.pdf
9,22/3/2020 10:00,16999.0,16109.0,341.0,,ICMR_website_update_22March_10AM_IST.pdf
10,22/3/2020 18:00,18127.0,17237.0,396.0,,ICMR_website_update_22March_6PM_IST.pdf
11,23/3/2020 10:00,18383.0,17493.0,415.0,,ICMR_website_update_23March_10AM_IST.pdf
12,23/3/2020 20:00,20707.0,19817.0,471.0,,ICMR_website_update_23March_8PM_IST.pdf
13,24/3/2020 10:00,20864.0,19974.0,482.0,,ICMR_website_update_24March_10AM_IST.pdf
14,24/3/2020 20:00,22694.0,21804.0,536.0,,ICMR_website_update_24March_8PM_IST.pdf
15,25/3/2020 10:00,22928.0,22038.0,539.0,,ICMR_website_update_25March_10AM_IST.pdf
16,25/3/2020 20:00,25144.0,24254.0,581.0,,ICMR_website_update_25March_8PM_IST.pdf
19,27/3/2020 09:00,27688.0,26798.0,691.0,,ICMR_website_update_27March_9AM_IST.pdf
20,30/3/2020,38442.0,,,1334.0,MoH Press conference with Dr. Raman G
21,31/3/2020,42788.0,,,1733.0,MoH Press conference with Dr. Raman G
22,1/4/2020,47951.0,,1637.0,4562.0,https://twitter.com/PTI_News/status/1245308976440340482
23,2/4/2020 21:00,55851.0,,2056.0,,ICMR_testing_update_02April_9PM_IST.pdf
24,3/4/2020 09:00,56680.0,,2183.0,,ICMR_testing_update_03April_9AM_IST.pdf
25,3/4/2020 21:00,69245.0,,2653.0,,ICMR_testing_update_03April_9PM_IST.pdf
